date,text
10 May 2024,"The Shacklewell Arms: I OH YOU label presents: The Belair Lip Bombs, Man Woman Chainsaw, SORRY DJ set"
27 March 2025,"Moth Club: Something in the Lake, Borough Council, Rabbitfoot"
7 April 2025,"@windmillbrixton: Multiple People [LA], Pazeamor, Tek lintowe (dj) @teklintowe, Able Archer (dj) @chr_st_an___"
21 May 2025,"Windmill Brixton: The Rebel, Alicia Edelweiss"
12 July 2025,"Secret Location: The Rebel, Fiscal Harm"
23 August 2025,"Secret Location: CANTY, Spike"
2 October 2025,"St Giles Church: The Rebel, Bell practice, Multiple People [LA]"
8 November 2025,"The Blue Moon, Cambridge with Immersion, Pete Um, Visit me, Quade"
13 November 2025,Lexington with AUTOMATIC
19 November 2025,Lexington with PENCIL
